source_province,category,comparable_years,comparable_year_count,school_context_count,observed_school_context_count,reference_ge3_count,reference_ge3_percent,reference_eq2_count,reference_eq2_percent,reference_eq1_count,reference_eq1_percent,reference_eq0_count,reference_eq0_percent,observed_reference_ge2_percent,observed_reference_eq1_percent
河北,艺术类,2023,1,2952,2,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
河南,历史类,2025,1,2952,538,0,0.0000,0,0.0000,534,18.0894,2418,81.9106,0.0000,99.2565
河南,物理类,2025,1,2952,595,0,0.0000,0,0.0000,591,20.0203,2361,79.9797,0.0000,99.3277
河南,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
河南,艺术类（物理）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
黑龙江,历史类,2025,1,2952,352,0,0.0000,0,0.0000,352,11.9241,2600,88.0759,0.0000,100.0000
黑龙江,物理类,2025,1,2952,436,0,0.0000,0,0.0000,436,14.7696,2516,85.2304,0.0000,100.0000
湖北,历史类,2023|2024|2025,3,2952,1426,324,10.9756,645,21.8496,425,14.3970,1558,52.7778,67.9523,29.8036
湖北,物理类,2023|2024|2025,3,2952,1583,423,14.3293,766,25.9485,353,11.9580,1410,47.7642,75.1105,22.2994
湖北,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
湖南,历史类,2023|2024|2025,3,2952,1451,467,15.8198,418,14.1599,566,19.1734,1501,50.8469,60.9924,39.0076
湖南,体育类,2024,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
湖南,体育类（历史）,2023|2024,2,2952,18,0,0.0000,0,0.0000,1,0.0339,2951,99.9661,0.0000,5.5556
湖南,体育类（物理）,2023|2024,2,2952,23,0,0.0000,0,0.0000,1,0.0339,2951,99.9661,0.0000,4.3478
湖南,物理类,2023|2024|2025,3,2952,1608,577,19.5461,454,15.3794,577,19.5461,1344,45.5285,64.1169,35.8831
湖南,艺术类,2023|2024,2,2952,3,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
湖南,艺术类（历史）,2023|2024,2,2952,51,0,0.0000,0,0.0000,1,0.0339,2951,99.9661,0.0000,1.9608
湖南,艺术类（物理）,2023|2024,2,2952,47,0,0.0000,0,0.0000,1,0.0339,2951,99.9661,0.0000,2.1277
吉林,理科,2023,1,2952,1185,0,0.0000,0,0.0000,1185,40.1423,1767,59.8577,0.0000,100.0000
吉林,历史类,2024|2025,2,2952,1060,0,0.0000,705,23.8821,355,12.0257,1892,64.0921,66.5094,33.4906
吉林,文科,2023,1,2952,1000,0,0.0000,0,0.0000,999,33.8415,1953,66.1585,0.0000,99.9000
吉林,物理类,2024|2025,2,2952,1257,0,0.0000,896,30.3523,361,12.2290,1695,57.4187,71.2808,28.7192
江苏,历史类,2023|2024|2025,3,2952,1257,731,24.7629,139,4.7087,350,11.8564,1732,58.6721,69.2124,27.8441
江苏,体育类,2023,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
江苏,体育类（历史）,2023|2024,2,2952,19,0,0.0000,1,0.0339,1,0.0339,2950,99.9322,5.2632,5.2632
江苏,体育类（物理）,2023|2024,2,2952,17,0,0.0000,1,0.0339,1,0.0339,2950,99.9322,5.8824,5.8824
江苏,物理类,2023|2024|2025,3,2952,1434,950,32.1816,135,4.5732,328,11.1111,1539,52.1341,75.6625,22.8731
江苏,艺术类,2023|2024,2,2952,3,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
江苏,艺术类（历史）,2023|2024|2025,3,2952,68,0,0.0000,2,0.0678,7,0.2371,2943,99.6951,2.9412,10.2941
江苏,艺术类（物理）,2023|2024,2,2952,45,0,0.0000,2,0.0678,7,0.2371,2943,99.6951,4.4444,15.5556
江西,理科,2023,1,2952,1613,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
江西,历史类,2025,1,2952,472,0,0.0000,0,0.0000,471,15.9553,2481,84.0447,0.0000,99.7881
江西,文科,2023,1,2952,1524,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
江西,物理类,2025,1,2952,563,0,0.0000,0,0.0000,563,19.0718,2389,80.9282,0.0000,100.0000
江西,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
辽宁,历史类,2023|2024|2025,3,2952,1216,931,31.5379,135,4.5732,149,5.0474,1737,58.8415,87.6645,12.2533
辽宁,体育类（历史）,2023|2024,2,2952,5,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
辽宁,体育类（物理）,2023|2024,2,2952,5,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
辽宁,物理类,2023|2024|2025,3,2952,1384,1202,40.7182,85,2.8794,96,3.2520,1569,53.1504,92.9913,6.9364
辽宁,艺术类,2023,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
辽宁,艺术类（历史）,2023|2024,2,2952,9,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
辽宁,艺术类（物理）,2023|2024,2,2952,6,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
内蒙,理科,2023|2024,2,2952,1373,0,0.0000,1273,43.1233,99,3.3537,1580,53.5230,92.7167,7.2105
内蒙,历史类,2025,1,2952,1206,0,0.0000,0,0.0000,1206,40.8537,1746,59.1463,0.0000,100.0000
内蒙,蒙授理科,2023,1,2952,73,0,0.0000,0,0.0000,72,2.4390,2880,97.5610,0.0000,98.6301
内蒙,蒙授文科,2023,1,2952,66,0,0.0000,0,0.0000,63,2.1341,2889,97.8659,0.0000,95.4545
内蒙,文科,2023|2024,2,2952,1218,0,0.0000,1081,36.6192,136,4.6070,1735,58.7737,88.7521,11.1658
内蒙,物理类,2025,1,2952,1387,0,0.0000,0,0.0000,1387,46.9851,1565,53.0149,0.0000,100.0000
内蒙,艺术类,2023,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
宁夏,理科,2023|2024,2,2952,1183,0,0.0000,1049,35.5352,134,4.5393,1769,59.9255,88.6729,11.3271
宁夏,历史类,2025,1,2952,184,0,0.0000,0,0.0000,183,6.1992,2769,93.8008,0.0000,99.4565
宁夏,文科,2023|2024,2,2952,998,0,0.0000,803,27.2019,195,6.6057,1954,66.1924,80.4609,19.5391
宁夏,物理类,2025,1,2952,250,0,0.0000,0,0.0000,250,8.4688,2702,91.5312,0.0000,100.0000
山东,体育类,2024,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
山东,艺术类,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
山东,综合,2023|2024|2025,3,2952,2020,1682,56.9783,172,5.8266,166,5.6233,932,31.5718,91.7822,8.2178
山西,理科,2023,1,2952,541,0,0.0000,0,0.0000,426,14.4309,2526,85.5691,0.0000,78.7431
山西,历史类,2024,1,2952,1422,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
山西,体育文,2023,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
山西,文科,2023,1,2952,465,0,0.0000,0,0.0000,351,11.8902,2601,88.1098,0.0000,75.4839
山西,物理类,2024,1,2952,1603,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
山西,艺术类,2023,1,2952,3,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
陕西,理科,2023|2024,2,2952,1408,0,0.0000,1204,40.7859,204,6.9106,1544,52.3035,85.5114,14.4886
陕西,历史类,2025,1,2952,368,0,0.0000,0,0.0000,366,12.3984,2586,87.6016,0.0000,99.4565
陕西,文科,2023|2024,2,2952,1245,0,0.0000,1028,34.8238,217,7.3509,1707,57.8252,82.5703,17.4297
陕西,物理类,2025,1,2952,452,0,0.0000,0,0.0000,450,15.2439,2502,84.7561,0.0000,99.5575
陕西,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
上海,艺术类,2023,1,2952,2,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
上海,综合,2023|2025,2,2952,694,0,0.0000,586,19.8509,98,3.3198,2268,76.8293,84.4380,14.1210
四川,理科,2023|2024,2,2952,2008,0,0.0000,1871,63.3808,137,4.6409,944,31.9783,93.1773,6.8227
四川,历史类,2025,1,2952,487,0,0.0000,0,0.0000,487,16.4973,2465,83.5027,0.0000,100.0000
四川,文科,2023|2024,2,2952,1904,0,0.0000,1728,58.5366,176,5.9621,1048,35.5014,90.7563,9.2437
四川,物理类,2025,1,2952,567,0,0.0000,0,0.0000,567,19.2073,2385,80.7927,0.0000,100.0000
四川,艺术类（历史）,2025,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
天津,体育类,2024,1,2952,3,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
天津,艺术类,2023|2024,2,2952,4,0,0.0000,0,0.0000,1,0.0339,2951,99.9661,0.0000,25.0000
天津,综合,2023|2024|2025,3,2952,934,152,5.1491,249,8.4350,524,17.7507,2027,68.6653,42.9336,56.1028
西藏,理科,2023|2024|2025,3,2952,229,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
西藏,体育理,2023|2024,2,2952,3,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
西藏,体育文,2024,1,2952,2,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
西藏,文科,2023|2024|2025,3,2952,188,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
西藏,艺术类,2023,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
西藏,艺术理,2024,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
西藏,艺术文,2023|2024,2,2952,3,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
新疆,理科,2023|2024|2025,3,2952,1340,1,0.0339,17,0.5759,385,13.0420,2549,86.3482,1.3433,28.7313
新疆,体育类,2023|2024,2,2952,9,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
新疆,体育理,2023,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
新疆,文科,2023|2024|2025,3,2952,1193,2,0.0678,14,0.4743,299,10.1287,2637,89.3293,1.3412,25.0629
新疆,艺术类,2023|2024|2025,3,2952,24,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
新疆,艺术理,2023,1,2952,1,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
新疆,艺术文,2023|2024,2,2952,4,0,0.0000,0,0.0000,0,0.0000,2952,100.0000,0.0000,0.0000
云南,理科,2023,1,2952,1616,0,0.0000,0,0.0000,1615,54.7087,1337,45.2913,0.0000,99.9381
云南,历史类,2025,1,2952,478,0,0.0000,0,0.0000,476,16.1247,2476,83.8753,0.0000,99.5816
